City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,dul'durga,50.6761,113.5931,66.31,66,100,4.61,RU,1723938501
128,rio grande,-32.035,-52.0986,56.53,95,100,16.82,BR,1723938502
129,dawei,14.0833,98.2,78.17,91,100,3.47,MM,1723938502
130,cockburn town,21.4612,-71.1419,83.8,80,89,9.26,TC,1723938502
131,brisas de zicatela,15.8369,-97.0419,86.52,94,40,5.75,MX,1723938503
132,uribia,11.7139,-72.266,87.22,61,16,5.44,CO,1723938503
133,cadiz,36.5,-5.75,73.06,57,31,4.43,ES,1723938503
134,howrah,22.5892,88.3103,82.4,83,75,3.44,IN,1723938504
135,mwene-ditu,-7.0,23.45,71.11,33,3,2.42,CD,1723938504
136,rodolfo sanchez taboada,31.7167,-116.5667,73.09,54,32,5.01,MX,1723938504
137,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,58,75,6.71,RU,1723938504
138,bethel,41.3712,-73.414,72.05,85,95,1.99,US,1723938351
139,whitehorse,60.7161,-135.0538,75.09,40,75,6.91,CA,1723938506
140,prado,-17.3411,-39.2208,71.56,76,0,7.78,BR,1723938506
141,saipan,15.1355,145.701,84.9,74,20,19.57,MP,1723938506
142,turpan,42.9333,89.1667,94.87,15,23,1.48,CN,1723938506
143,greymouth,-42.4667,171.2,50.09,92,100,8.99,NZ,1723938507
144,saint-benoit,-21.038,55.7194,68.07,74,13,16.2,RE,1723938507
145,shiguai,40.7058,110.2856,66.56,67,2,3.27,CN,1723938507
146,katima mulilo,-17.5,24.2667,61.52,34,0,5.08,NA,1723938507
147,haiku-pauwela,20.9219,-156.3051,86.16,73,40,28.77,US,1723938508
148,tazovsky,67.4667,78.7,53.06,98,100,7.02,RU,1723938508
149,grand falls-windsor,48.9332,-55.6649,66.29,69,73,9.31,CA,1723938261
150,turochak,52.2576,87.1224,60.73,98,100,6.78,RU,1723938509
151,hammerfest,70.6634,23.6821,57.65,82,40,6.91,NO,1723938509
152,axim,4.8699,-2.2405,74.97,83,79,6.06,GH,1723938510
153,santiago de cao,-7.9589,-79.2392,62.73,88,100,9.22,PE,1723938510
154,san rafael,-34.6177,-68.3301,53.04,48,20,8.63,AR,1723938435
155,fort bragg,35.139,-79.006,87.64,64,0,9.22,US,1723938415
156,tura,25.5198,90.2201,73.71,95,70,3.85,IN,1723938511
157,badger,64.8,-147.5333,60.67,90,100,6.91,US,1723938511
158,hermanus,-34.4187,19.2345,55.56,87,0,13.33,ZA,1723938512
